,Player,Nation,Pos,Age,MP,Min,Gls,Ast,PK,CrdY,CrdR,GlsxMin,AstxMin,G+AxMin,Season
0,Quim,pt POR,GK,31,30,2639.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2007
1,Rui Costa,pt POR,MF,35,29,2382.0,5.0,5.0,0.0,6.0,0.0,0.19,0.19,0.38,2007
2,Kostas Katsouranis,gr GRE,DFMF,28,27,2320.0,2.0,1.0,0.0,9.0,0.0,0.08,0.04,0.12,2007
3,Léo,br BRA,DF,32,27,2323.0,0.0,3.0,0.0,2.0,0.0,0.0,0.12,0.12,2007
4,Óscar Cardozo,py PAR,FW,24,29,2283.0,13.0,1.0,3.0,2.0,0.0,0.51,0.04,0.55,2007
5,Cristian Rodríguez,uy URU,MF,21,24,1940.0,6.0,4.0,0.0,3.0,0.0,0.28,0.19,0.46,2007
6,Maxi Pereira,uy URU,DF,23,23,1750.0,2.0,2.0,0.0,6.0,0.0,0.1,0.1,0.21,2007
7,Nuno Gomes,pt POR,FW,31,25,1570.0,7.0,0.0,1.0,2.0,0.0,0.4,0.0,0.4,2007
8,Luisão,br BRA,DF,26,19,1687.0,3.0,0.0,0.0,6.0,0.0,0.16,0.0,0.16,2007
9,Nélson Marcos,pt POR,DF,24,19,1506.0,0.0,1.0,0.0,2.0,1.0,0.0,0.06,0.06,2007
10,Petit,pt POR,MF,30,17,1407.0,1.0,2.0,0.0,5.0,0.0,0.06,0.13,0.19,2007
11,Edcarlos,br BRA,DF,22,16,1312.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2007
12,Luís Filipe,pt POR,DFMF,28,19,1316.0,0.0,1.0,0.0,3.0,0.0,0.0,0.07,0.07,2007
13,Gilles Binya,cm CMR,MF,22,16,1221.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,2007
14,Ángel Di María,ar ARG,FWMF,19,26,1410.0,0.0,4.0,0.0,5.0,0.0,0.0,0.26,0.26,2007
15,Nuno Assis,pt POR,MF,29,17,713.0,1.0,0.0,0.0,4.0,0.0,0.13,0.0,0.13,2007
16,David Luiz,br BRA,DFMF,20,8,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
17,László Sepsi,ro ROU,DF,20,7,216.0,0.0,1.0,0.0,1.0,0.0,0.0,0.42,0.42,2007
19,Ariza Makukula,pt POR,FW,26,3,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
20,Fábio Coentrão,pt POR,DF,19,3,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
21,Marco Zoro,ci CIV,DF,23,2,75.0,1.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,2007
22,Mantorras,ao ANG,FW,25,9,155.0,1.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,2007
23,Freddy Adu,us USA,FWMF,18,11,143.0,2.0,0.0,0.0,1.0,0.0,1.26,0.0,1.26,2007
24,Hans-Jörg Butt,de GER,GK,33,1,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
25,Gonzalo Bergessio,ar ARG,FW,23,3,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
26,Romeu Ribeiro,pt POR,MF,18,5,55.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2007
27,Andrés Díaz,ar ARG,MF,24,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007
0,Maxi Pereira,uy URU,DF,24,28,2520.0,1.0,0.0,0.0,5.0,0.0,0.04,0.0,0.04,2008
1,Rúben Amorim,pt POR,MF,23,26,1883.0,2.0,2.0,0.0,5.0,0.0,0.1,0.1,0.19,2008
2,Sidnei,br BRA,DF,18,24,1993.0,3.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,2008
3,Óscar Cardozo,py PAR,FW,25,26,1893.0,17.0,3.0,4.0,1.0,0.0,0.81,0.14,0.95,2008
4,Luisão,br BRA,DF,27,21,1890.0,2.0,0.0,0.0,5.0,0.0,0.1,0.0,0.1,2008
5,Kostas Katsouranis,gr GRE,DFMF,29,24,1814.0,2.0,0.0,0.0,10.0,1.0,0.1,0.0,0.1,2008
6,José Antonio Reyes,es ESP,MF,24,24,1701.0,4.0,0.0,2.0,6.0,1.0,0.21,0.0,0.21,2008
7,Pablo Aimar,ar ARG,MF,28,22,1682.0,1.0,5.0,0.0,6.0,0.0,0.05,0.27,0.32,2008
8,Hassan Yebda,dz ALG,MF,24,25,1661.0,1.0,1.0,0.0,7.0,0.0,0.05,0.05,0.11,2008
9,David Luiz,br BRA,DFMF,21,19,1546.0,2.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,2008
10,Carlos Martins,pt POR,MF,26,24,1333.0,0.0,3.0,0.0,2.0,0.0,0.0,0.2,0.2,2008
11,Quim,pt POR,GK,32,16,1440.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2008
12,Miguel Vítor,il ISR,DF,19,16,1359.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2008
13,José Moreira,pt POR,GK,26,14,1260.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2008
14,Jorge Ribeiro,pt POR,DFMF,26,15,1166.0,1.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,2008
15,Ángel Di María,ar ARG,FWMF,20,24,1241.0,2.0,1.0,0.0,2.0,0.0,0.15,0.07,0.22,2008
16,Nuno Gomes,pt POR,FW,32,24,1176.0,7.0,1.0,0.0,1.0,1.0,0.54,0.08,0.61,2008
17,David Suazo,hn HON,FW,28,12,905.0,4.0,7.0,0.0,2.0,0.0,0.4,0.7,1.09,2008
18,Jonathan Urretaviscaya,uy URU,FWMF,18,10,368.0,1.0,0.0,0.0,2.0,0.0,0.24,0.0,0.24,2008
19,Gilles Binya,cm CMR,MF,23,7,248.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2008
20,Léo,br BRA,DF,33,2,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
21,Javier Balboa,gq EQG,FWMF,23,10,156.0,0.0,1.0,0.0,0.0,0.0,0.0,0.58,0.58,2008
22,Mantorras,ao ANG,FW,26,5,68.0,2.0,0.0,0.0,0.0,0.0,2.65,0.0,2.65,2008
23,Fellipe Bastos,br BRA,MF,18,1,63.0,1.0,0.0,0.0,1.0,0.0,1.43,0.0,1.43,2008
0,Quim,pt POR,GK,33,30,2700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2009
1,David Luiz,br BRA,DFMF,22,29,2610.0,3.0,2.0,0.0,8.0,0.0,0.1,0.07,0.17,2009
2,Luisão,br BRA,DF,28,28,2520.0,4.0,1.0,0.0,7.0,0.0,0.14,0.04,0.18,2009
3,Óscar Cardozo,py PAR,FW,26,29,2403.0,26.0,6.0,6.0,4.0,1.0,0.97,0.22,1.2,2009
4,Ángel Di María,ar ARG,FWMF,21,26,2249.0,5.0,11.0,0.0,9.0,1.0,0.2,0.44,0.64,2009
5,Javi García,es ESP,DFMF,22,26,2218.0,3.0,2.0,0.0,9.0,0.0,0.12,0.08,0.2,2009
6,Javier Saviola,ar ARG,FW,27,27,2058.0,11.0,4.0,0.0,4.0,0.0,0.48,0.17,0.66,2009
7,Ramires,br BRA,MF,22,26,1945.0,4.0,3.0,0.0,2.0,0.0,0.19,0.14,0.32,2009
8,Maxi Pereira,uy URU,DF,25,25,1954.0,2.0,4.0,0.0,9.0,0.0,0.09,0.18,0.28,2009
9,Pablo Aimar,ar ARG,MF,29,25,1669.0,4.0,8.0,0.0,3.0,0.0,0.22,0.43,0.65,2009
10,Fábio Coentrão,pt POR,DF,21,26,1817.0,0.0,6.0,0.0,10.0,0.0,0.0,0.3,0.3,2009
11,Rúben Amorim,pt POR,MF,24,24,1374.0,3.0,0.0,0.0,4.0,0.0,0.2,0.0,0.2,2009
12,Carlos Martins,pt POR,MF,27,17,861.0,3.0,2.0,0.0,3.0,1.0,0.31,0.21,0.52,2009
13,César Peixoto,pt POR,DFMF,29,15,918.0,0.0,2.0,0.0,3.0,0.0,0.0,0.2,0.2,2009
14,José Shaffer,ar ARG,DF,23,4,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
15,Weldon,br BRA,FW,28,12,408.0,5.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,2009
16,Sidnei,br BRA,DF,19,5,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
17,Airton,br BRA,DFMF,19,4,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
18,Éder Luís,br BRA,FWMF,24,6,215.0,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,2009
19,Nuno Gomes,pt POR,FW,33,13,222.0,3.0,0.0,0.0,0.0,0.0,1.22,0.0,1.22,2009
20,Keirrison,br BRA,FW,20,5,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
21,Miguel Vítor,il ISR,DF,20,2,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
22,Jonathan Urretaviscaya,uy URU,FWMF,19,1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
23,Felipe Menezes,br BRA,MF,21,5,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
24,Alan Kardec,br BRA,FW,20,8,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
25,Luís Filipe,pt POR,DFMF,30,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009
0,Roberto,es ESP,GK,24,25,2227.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2010
1,Javi García,es ESP,DFMF,23,24,2088.0,2.0,1.0,0.0,8.0,1.0,0.09,0.04,0.13,2010
2,Javier Saviola,ar ARG,FW,28,24,1858.0,9.0,8.0,1.0,2.0,0.0,0.44,0.39,0.82,2010
3,Fábio Coentrão,pt POR,DF,22,23,2068.0,2.0,3.0,0.0,7.0,2.0,0.09,0.13,0.22,2010
4,Maxi Pereira,uy URU,DF,26,26,2044.0,0.0,3.0,0.0,11.0,0.0,0.0,0.13,0.13,2010
5,Luisão,br BRA,DF,29,23,2030.0,1.0,1.0,0.0,6.0,2.0,0.04,0.04,0.09,2010
6,Nicolás Gaitán,ar ARG,MF,22,26,1956.0,7.0,4.0,0.0,2.0,0.0,0.32,0.18,0.51,2010
7,Pablo Aimar,ar ARG,MF,30,23,1650.0,5.0,6.0,0.0,5.0,0.0,0.27,0.33,0.6,2010
8,Óscar Cardozo,py PAR,FW,27,22,1777.0,12.0,4.0,1.0,2.0,1.0,0.61,0.2,0.81,2010
9,David Luiz,br BRA,DFMF,23,16,1440.0,0.0,1.0,0.0,5.0,0.0,0.0,0.06,0.06,2010
10,Carlos Martins,pt POR,MF,28,25,1278.0,3.0,1.0,0.0,7.0,0.0,0.21,0.07,0.28,2010
11,Sidnei,br BRA,DF,20,16,1189.0,3.0,1.0,0.0,1.0,1.0,0.23,0.08,0.3,2010
12,Eduardo Salvio,ar ARG,FWMF,20,19,1166.0,4.0,3.0,0.0,4.0,0.0,0.31,0.23,0.54,2010
13,Franco Jara,ar ARG,FW,22,25,1013.0,6.0,1.0,0.0,3.0,0.0,0.53,0.09,0.62,2010
14,César Peixoto,pt POR,DFMF,30,16,899.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2010
15,Alan Kardec,br BRA,FW,21,12,812.0,3.0,0.0,1.0,1.0,0.0,0.33,0.0,0.33,2010
16,Airton,br BRA,DFMF,20,15,756.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2010
17,Rúben Amorim,pt POR,MF,25,11,675.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2010
18,Lionel Carole,fr FRA,DFMF,19,6,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
19,Jardel,br BRA,DF,24,8,487.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2010
20,Roderick Miranda,pt POR,DF,19,5,380.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2010
21,Felipe Menezes,br BRA,MF,22,7,295.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2010
22,Júlio César,br BRA,GK,23,4,292.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010
23,Luís Filipe,pt POR,DFMF,31,3,245.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2010
24,José Moreira,pt POR,GK,28,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
25,José Luis Fernández,ar ARG,MF,22,2,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
26,Nuno Gomes,pt POR,FW,34,5,57.0,4.0,0.0,0.0,0.0,0.0,6.32,0.0,6.32,2010
27,Weldon,br BRA,FW,29,4,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
0,Artur Moraes,br BRA,GK,30,29,2610.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2011
1,Óscar Cardozo,py PAR,FW,28,29,2474.0,20.0,4.0,5.0,5.0,2.0,0.73,0.15,0.87,2011
2,Luisão,br BRA,DF,30,25,2250.0,1.0,0.0,0.0,8.0,1.0,0.04,0.0,0.04,2011
3,Maxi Pereira,uy URU,DF,27,25,2244.0,0.0,2.0,0.0,11.0,0.0,0.0,0.08,0.08,2011
4,Axel Witsel,be BEL,DFMF,22,29,2281.0,1.0,3.0,1.0,5.0,0.0,0.04,0.12,0.16,2011
5,Ezequiel Garay,ar ARG,DF,24,24,2140.0,2.0,0.0,0.0,3.0,0.0,0.08,0.0,0.08,2011
6,Emerson,br BRA,DF,25,24,2093.0,0.0,1.0,0.0,6.0,1.0,0.0,0.04,0.04,2011
7,Javi García,es ESP,DFMF,24,22,1697.0,1.0,0.0,0.0,9.0,0.0,0.05,0.0,0.05,2011
8,Bruno César,br BRA,FWMF,22,26,1648.0,9.0,2.0,0.0,6.0,0.0,0.49,0.11,0.6,2011
9,Pablo Aimar,ar ARG,MF,31,24,1412.0,2.0,9.0,0.0,3.0,1.0,0.13,0.57,0.7,2011
10,Nolito,es ESP,FWMF,24,29,1624.0,11.0,7.0,0.0,5.0,0.0,0.61,0.39,1.0,2011
11,Nicolás Gaitán,ar ARG,MF,23,25,1550.0,3.0,7.0,0.0,1.0,0.0,0.17,0.41,0.58,2011
12,Rodrigo,es ESP,FWMF,20,22,1136.0,9.0,2.0,0.0,1.0,0.0,0.71,0.16,0.87,2011
13,Nemanja Matić,rs SRB,MF,22,16,862.0,1.0,0.0,0.0,6.0,0.0,0.1,0.0,0.1,2011
14,Jardel,br BRA,DF,25,10,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011
15,Javier Saviola,ar ARG,FW,29,18,819.0,4.0,5.0,0.0,2.0,0.0,0.44,0.55,0.99,2011
16,Joan Capdevila,es ESP,DF,33,5,450.0,1.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,2011
17,Rúben Amorim,pt POR,MF,26,6,292.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2011
18,Nélson Oliveira,pt POR,FW,19,12,396.0,0.0,2.0,0.0,3.0,0.0,0.0,0.45,0.45,2011
19,Luís Martins,pt POR,DF,19,4,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
20,Yannick Djaló,pt POR,FWMF,25,3,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
21,Miguel Vítor,il ISR,DF,22,3,125.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011
22,Eduardo Carvalho,pt POR,GK,28,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
23,Franco Jara,ar ARG,FW,23,1,90.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2011
24,André Almeida,pt POR,DFMF,20,3,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011
25,Enzo Pérez,ar ARG,MF,25,3,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
26,Rodrigo Mora,uy URU,FW,23,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
0,Artur Moraes,br BRA,GK,31,30,2700.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2012
1,Eduardo Salvio,ar ARG,FWMF,22,29,2449.0,10.0,7.0,0.0,0.0,0.0,0.37,0.26,0.62,2012
2,Maxi Pereira,uy URU,DF,28,28,2514.0,3.0,4.0,0.0,8.0,0.0,0.11,0.14,0.25,2012
3,Ezequiel Garay,ar ARG,DF,25,27,2430.0,1.0,0.0,0.0,2.0,0.0,0.04,0.0,0.04,2012
4,Nemanja Matić,rs SRB,MF,23,26,2244.0,3.0,0.0,0.0,8.0,1.0,0.12,0.0,0.12,2012
5,Enzo Pérez,ar ARG,MF,26,28,2007.0,4.0,5.0,0.0,5.0,1.0,0.18,0.22,0.4,2012
6,Lima,br BRA,FW,29,27,2139.0,20.0,5.0,3.0,1.0,0.0,0.84,0.21,1.05,2012
7,Lorenzo Melgarejo,py PAR,DFFW,21,21,1870.0,2.0,3.0,0.0,4.0,1.0,0.1,0.14,0.24,2012
8,Óscar Cardozo,py PAR,FW,29,25,1738.0,17.0,4.0,8.0,5.0,1.0,0.88,0.21,1.09,2012
9,Luisão,br BRA,DF,31,18,1619.0,1.0,2.0,0.0,3.0,0.0,0.06,0.11,0.17,2012
10,Jardel,br BRA,DF,26,16,1351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
11,Ola John,nl NED,FWMF,20,22,1259.0,0.0,5.0,0.0,0.0,0.0,0.0,0.36,0.36,2012
12,Rodrigo,es ESP,FWMF,21,20,1049.0,7.0,1.0,0.0,3.0,0.0,0.6,0.09,0.69,2012
13,Nicolás Gaitán,ar ARG,MF,24,23,1174.0,3.0,8.0,0.0,3.0,0.0,0.23,0.61,0.84,2012
14,André Almeida,pt POR,DFMF,21,14,667.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2012
15,Luisinho,pt POR,DF,27,5,450.0,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,2012
16,André Gomes,pt POR,MF,19,7,364.0,1.0,0.0,0.0,2.0,1.0,0.25,0.0,0.25,2012
17,Carlos Martins,pt POR,MF,30,13,420.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2012
18,Axel Witsel,be BEL,DFMF,23,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
19,Bruno César,br BRA,FWMF,23,6,223.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2012
20,Javi García,es ESP,DFMF,25,2,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
21,Nolito,es ESP,FWMF,25,6,188.0,1.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,2012
22,Jonathan Urretaviscaya,uy URU,FWMF,22,4,89.0,1.0,0.0,0.0,0.0,0.0,1.01,0.0,1.01,2012
