,Player,Nation,Pos,Age,MP,Min,Gls,Ast,PK,CrdY,CrdR,GlsxMin,AstxMin,G+AxMin,Season
0,Odisseas Vlachodimos,gr GRE,GK,24,34,3054.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2018
1,Álex Grimaldo,es ESP,DF,22,34,3051.0,4.0,12.0,0.0,3.0,0.0,0.12,0.35,0.47,2018
2,Pizzi,pt POR,MF,28,34,2776.0,13.0,18.0,5.0,4.0,0.0,0.42,0.58,1.01,2018
3,André Almeida,pt POR,DF,27,33,2914.0,2.0,11.0,0.0,6.0,0.0,0.06,0.34,0.4,2018
4,Rúben Dias,pt POR,DF,21,32,2867.0,3.0,1.0,0.0,10.0,0.0,0.09,0.03,0.13,2018
5,Rafa Silva,pt POR,MFFW,25,26,1914.0,17.0,2.0,0.0,6.0,0.0,0.8,0.09,0.89,2018
6,João Félix,pt POR,FW,18,26,1725.0,15.0,7.0,0.0,2.0,0.0,0.78,0.37,1.15,2018
7,Haris Seferović,ch SUI,FW,26,29,1969.0,23.0,5.0,0.0,1.0,0.0,1.05,0.23,1.28,2018
8,Jardel,br BRA,DF,32,19,1604.0,2.0,0.0,0.0,4.0,1.0,0.11,0.0,0.11,2018
9,Ljubomir Fejsa,rs SRB,MF,29,18,1437.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2018
10,Andreas Samaris,gr GRE,MF,29,19,1410.0,2.0,3.0,0.0,3.0,0.0,0.13,0.19,0.32,2018
11,Gabriel,br BRA,MF,24,17,1253.0,0.0,1.0,0.0,4.0,1.0,0.0,0.07,0.07,2018
12,Francisco Reis Ferreira,pt POR,DF,21,13,1143.0,2.0,0.0,0.0,1.0,1.0,0.16,0.0,0.16,2018
13,Franco Cervi,ar ARG,FWMF,24,20,1028.0,4.0,2.0,0.0,4.0,0.0,0.35,0.18,0.53,2018
14,Gedson Fernandes,pt POR,MF,19,22,1050.0,0.0,2.0,0.0,2.0,0.0,0.0,0.17,0.17,2018
15,Jonas,br BRA,FW,34,22,1025.0,11.0,1.0,1.0,5.0,1.0,0.97,0.09,1.05,2018
16,Florentino Luís,pt POR,MF,18,11,842.0,1.0,0.0,0.0,1.0,0.0,0.11,0.0,0.11,2018
17,Eduardo Salvio,ar ARG,FWMF,28,14,656.0,2.0,2.0,0.0,0.0,0.0,0.27,0.27,0.55,2018
18,Andrija Živković,rs SRB,FWMF,22,16,667.0,0.0,3.0,0.0,1.0,0.0,0.0,0.4,0.4,2018
19,Facundo Ferreyra,ar ARG,FW,27,5,284.0,1.0,0.0,0.0,1.0,0.0,0.32,0.0,0.32,2018
20,Germán Conti,ar ARG,DF,24,4,267.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018
21,Nicolás Castillo,cl CHI,FW,25,4,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
22,Adel Taarabt,ma MAR,MFFW,29,6,136.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
23,Sébastien Corchia,fr FRA,DF,27,2,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
24,Cristian Lema,ar ARG,DF,27,1,81.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018
25,Alfa Semedo,gw GNB,MFDF,20,5,102.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
26,Filip Krovinović,hr CRO,MFFW,22,4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
27,Mile Svilar,rs SRB,GK,18,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
0,Rúben Dias,pt POR,DF,22,33,2970.0,2.0,2.0,0.0,6.0,0.0,0.06,0.06,0.12,2019
1,Odisseas Vlachodimos,gr GRE,GK,25,33,2970.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2019
2,Pizzi,pt POR,MFFW,29,34,2811.0,18.0,14.0,5.0,3.0,0.0,0.58,0.45,1.02,2019
3,Álex Grimaldo,es ESP,DF,23,26,2299.0,0.0,6.0,0.0,1.0,0.0,0.0,0.23,0.23,2019
4,Francisco Reis Ferreira,pt POR,DF,22,26,2317.0,1.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,2019
5,André Almeida,pt POR,DF,28,23,2003.0,4.0,4.0,0.0,8.0,0.0,0.18,0.18,0.36,2019
6,Carlos Vinícius,br BRA,FW,24,32,1777.0,18.0,5.0,0.0,2.0,0.0,0.91,0.25,1.16,2019
7,Adel Taarabt,ma MAR,MF,30,24,1672.0,1.0,1.0,0.0,8.0,1.0,0.05,0.05,0.11,2019
8,Gabriel,br BRA,MF,25,22,1628.0,2.0,2.0,0.0,9.0,1.0,0.11,0.11,0.22,2019
9,Franco Cervi,ar ARG,MFFW,25,23,1603.0,2.0,1.0,0.0,4.0,0.0,0.11,0.06,0.17,2019
10,Rafa Silva,pt POR,MFFW,26,25,1699.0,7.0,5.0,0.0,3.0,0.0,0.37,0.26,0.64,2019
11,Chiquinho,pt POR,FWMF,24,25,1512.0,2.0,4.0,0.0,2.0,0.0,0.12,0.24,0.36,2019
12,Julian Weigl,de GER,MF,23,18,1372.0,1.0,0.0,0.0,5.0,0.0,0.07,0.0,0.07,2019
13,Haris Seferović,ch SUI,FW,27,30,1435.0,5.0,2.0,0.0,2.0,0.0,0.31,0.13,0.44,2019
14,Nuno Tavares,pt POR,DF,19,11,927.0,1.0,4.0,0.0,2.0,0.0,0.1,0.39,0.49,2019
15,Jardel,br BRA,DF,33,10,833.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019
16,Tomás Tavares,pt POR,DF,18,12,877.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2019
17,Florentino Luís,pt POR,MF,19,10,746.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019
18,Andreas Samaris,gr GRE,MF,30,16,666.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2019
19,Raúl de Tomás,es ESP,FW,24,7,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
20,Ljubomir Fejsa,rs SRB,MF,30,3,200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019
21,Gedson Fernandes,pt POR,MFFW,20,7,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
22,Dyego Sousa,pt POR,FWMF,29,11,211.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43,0.43,2019
23,Jota,pt POR,MFFW,20,19,189.0,0.0,1.0,0.0,1.0,0.0,0.0,0.48,0.48,2019
24,Mile Svilar,rs SRB,GK,19,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
25,Andrija Živković,rs SRB,MF,23,3,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
26,Caio Lucas Fernandes,br BRA,MF,25,4,58.0,1.0,0.0,0.0,0.0,0.0,1.55,0.0,1.55,2019
27,Gonçalo Ramos,pt POR,MF,18,1,6.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,2019
0,Álex Grimaldo,es ESP,DFMF,24,31,2468.0,2.0,9.0,0.0,4.0,0.0,0.07,0.33,0.4,2020
1,Nicolás Otamendi,ar ARG,DF,32,27,2430.0,1.0,0.0,0.0,13.0,0.0,0.04,0.0,0.04,2020
2,Rafa Silva,pt POR,MFFW,27,29,2176.0,5.0,5.0,0.0,3.0,0.0,0.21,0.21,0.41,2020
3,Jan Vertonghen,be BEL,DF,33,28,2407.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2020
4,Haris Seferović,ch SUI,FW,28,31,2264.0,22.0,7.0,1.0,2.0,0.0,0.87,0.28,1.15,2020
5,Everton Soares,br BRA,MFFW,24,32,1964.0,7.0,8.0,0.0,2.0,0.0,0.32,0.37,0.69,2020
6,Julian Weigl,de GER,MF,24,28,2030.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2020
7,Pizzi,pt POR,MFFW,30,32,1850.0,6.0,4.0,0.0,6.0,0.0,0.29,0.19,0.49,2020
8,Darwin Núñez,uy URU,FW,21,29,1791.0,6.0,9.0,0.0,2.0,0.0,0.3,0.45,0.75,2020
9,Adel Taarabt,ma MAR,MF,31,26,1639.0,0.0,3.0,0.0,4.0,0.0,0.0,0.16,0.16,2020
10,Odisseas Vlachodimos,gr GRE,GK,26,18,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
11,Luca Waldschmidt,de GER,FWMF,24,27,1394.0,7.0,2.0,1.0,2.0,0.0,0.45,0.13,0.58,2020
12,Gilberto,br BRA,DF,27,25,1486.0,0.0,1.0,0.0,5.0,0.0,0.0,0.06,0.06,2020
13,Helton Leite,br BRA,GK,29,15,1350.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2020
14,Lucas Veríssimo,br BRA,DF,25,14,1133.0,2.0,0.0,0.0,4.0,0.0,0.16,0.0,0.16,2020
15,Diogo Gonçalves,pt POR,DFMF,23,21,1182.0,1.0,5.0,0.0,5.0,0.0,0.08,0.38,0.46,2020
16,Gabriel,br BRA,MF,26,20,1034.0,1.0,2.0,0.0,7.0,0.0,0.09,0.17,0.26,2020
17,Nuno Tavares,pt POR,DF,20,14,633.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2020
18,Franco Cervi,ar ARG,MFDF,26,14,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
19,Jardel,br BRA,DF,34,8,377.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2020
20,Pedrinho,br BRA,MFFW,22,19,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
21,André Almeida,pt POR,DF,29,4,283.0,0.0,1.0,0.0,2.0,0.0,0.0,0.32,0.32,2020
22,Chiquinho,pt POR,MF,25,18,356.0,2.0,0.0,0.0,3.0,0.0,0.51,0.0,0.51,2020
23,Francisco Reis Ferreira,pt POR,DF,23,4,198.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2020
24,Rúben Dias,pt POR,DF,23,2,180.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,2020
25,Morato,br BRA,DF,19,2,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
26,João Ferreira,pt POR,DF,19,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
27,Mile Svilar,rs SRB,GK,20,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
28,Andreas Samaris,gr GRE,MFFW,31,6,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
29,Gonçalo Ramos,pt POR,FWMF,19,4,97.0,2.0,0.0,0.0,0.0,0.0,1.86,0.0,1.86,2020
30,Carlos Vinícius,br BRA,FW,25,1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
31,Facundo Ferreyra,ar ARG,FW,29,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
0,Odisseas Vlachodimos,gr GRE,GK,27,32,2880.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021
1,Jan Vertonghen,be BEL,DF,34,28,2480.0,0.0,2.0,0.0,6.0,0.0,0.0,0.07,0.07,2021
2,Nicolás Otamendi,ar ARG,DF,33,28,2470.0,0.0,1.0,0.0,7.0,0.0,0.0,0.04,0.04,2021
3,Julian Weigl,de GER,MF,25,29,2413.0,2.0,3.0,0.0,9.0,0.0,0.07,0.11,0.19,2021
4,Álex Grimaldo,es ESP,DFMF,25,29,2323.0,5.0,5.0,0.0,4.0,0.0,0.19,0.19,0.39,2021
5,Darwin Núñez,uy URU,FWMF,22,28,1976.0,26.0,4.0,4.0,6.0,0.0,1.18,0.18,1.37,2021
6,Rafa Silva,pt POR,MFFW,28,28,2036.0,8.0,14.0,0.0,4.0,0.0,0.35,0.62,0.97,2021
7,João Mário,pt POR,MF,28,28,1734.0,3.0,3.0,0.0,2.0,0.0,0.16,0.16,0.31,2021
8,Everton Soares,br BRA,MFFW,25,27,1602.0,3.0,5.0,0.0,5.0,0.0,0.17,0.28,0.45,2021
9,Gonçalo Ramos,pt POR,FWMF,20,29,1609.0,7.0,1.0,0.0,4.0,0.0,0.39,0.06,0.45,2021
10,Gilberto,br BRA,DFMF,28,21,1348.0,2.0,3.0,0.0,5.0,0.0,0.13,0.2,0.33,2021
11,Roman Yaremchuk,ua UKR,FW,25,23,1068.0,6.0,3.0,0.0,2.0,0.0,0.51,0.25,0.76,2021
12,Valentino Lazaro,at AUT,DFMF,25,18,1028.0,0.0,1.0,0.0,2.0,0.0,0.0,0.09,0.09,2021
13,Morato,br BRA,DF,20,14,1012.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021
14,Soualiho Meïté,fr FRA,MF,27,17,885.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021
15,Diogo Gonçalves,pt POR,MFFW,24,23,862.0,0.0,1.0,0.0,5.0,1.0,0.0,0.1,0.1,2021
16,Lucas Veríssimo,br BRA,DF,26,10,837.0,3.0,1.0,0.0,3.0,0.0,0.32,0.11,0.43,2021
17,Adel Taarabt,ma MAR,MF,32,23,864.0,1.0,4.0,0.0,3.0,1.0,0.1,0.42,0.52,2021
18,André Almeida,pt POR,DF,30,15,805.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2021
19,Paulo Bernardo,pt POR,MF,19,17,779.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2021
20,Gil Bastião Dias,pt POR,DFFW,24,12,653.0,1.0,1.0,0.0,1.0,0.0,0.14,0.14,0.28,2021
21,Haris Seferović,ch SUI,FW,29,10,393.0,3.0,2.0,1.0,0.0,0.0,0.69,0.46,1.15,2021
22,Pizzi,pt POR,MFFW,31,14,323.0,1.0,3.0,0.0,2.0,0.0,0.28,0.84,1.11,2021
23,Helton Leite,br BRA,GK,30,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
24,Sandro Cruz,pt POR,DF,20,2,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
25,Luca Waldschmidt,de GER,FWMF,25,2,140.0,2.0,0.0,0.0,0.0,0.0,1.29,0.0,1.29,2021
26,Nemanja Radonjić,rs SRB,DFMF,25,6,138.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2021
27,Henrique Araújo,pt POR,FW,19,4,122.0,3.0,0.0,0.0,0.0,0.0,2.21,0.0,2.21,2021
28,Tomás Araújo,pt POR,DF,19,3,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
29,Tiago Gouveia,pt POR,FWMF,20,2,86.0,0.0,1.0,0.0,0.0,0.0,0.0,1.05,1.05,2021
30,Rodrigo Pinho,br BRA,FW,30,3,84.0,1.0,0.0,0.0,0.0,0.0,1.07,0.0,1.07,2021
31,Gedson Fernandes,pt POR,MF,22,3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
32,Diego Moreira,pt POR,FW,16,1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
33,Martim Carvalho,pt POR,MF,18,1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
34,Carlos Vinícius,br BRA,FW,26,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
0,Odisseas Vlachodimos,gr GRE,GK,28,34,3060.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022
1,Álex Grimaldo,es ESP,DF,27,33,2946.0,4.0,11.0,0.0,3.0,0.0,0.12,0.34,0.46,2022
2,Nicolás Otamendi,ar ARG,DF,35,32,2846.0,0.0,1.0,0.0,12.0,1.0,0.0,0.03,0.03,2022
3,António Silva,pt POR,DF,19,31,2776.0,4.0,0.0,0.0,3.0,0.0,0.13,0.0,0.13,2022
4,João Mário,pt POR,FW,30,33,2694.0,23.0,8.0,12.0,7.0,1.0,0.77,0.27,1.04,2022
5,Florentino Luís,pt POR,MF,23,34,2544.0,0.0,3.0,0.0,6.0,0.0,0.0,0.11,0.11,2022
6,Alexander Bah,dk DEN,DF,25,32,2391.0,1.0,5.0,0.0,2.0,0.0,0.04,0.19,0.23,2022
7,Gonçalo Ramos,pt POR,FW,21,30,2236.0,20.0,3.0,0.0,6.0,1.0,0.81,0.12,0.93,2022
8,Rafa Silva,pt POR,MFFW,29,28,2157.0,11.0,4.0,0.0,6.0,0.0,0.46,0.17,0.63,2022
9,Fredrik Aursnes,no NOR,FWMF,27,28,1876.0,1.0,2.0,0.0,5.0,0.0,0.05,0.1,0.14,2022
10,Enzo Fernández,ar ARG,MF,22,22,1809.0,1.0,6.0,0.0,6.0,0.0,0.05,0.3,0.35,2022
11,David Neres,br BRA,FWMF,26,30,1802.0,9.0,6.0,0.0,3.0,0.0,0.45,0.3,0.75,2022
12,Chiquinho,pt POR,MFFW,27,24,1111.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08,0.08,2022
13,Gilberto,br BRA,DF,30,19,664.0,2.0,1.0,0.0,2.0,0.0,0.27,0.14,0.41,2022
14,Petar Musa,hr CRO,FW,25,26,663.0,6.0,2.0,0.0,1.0,0.0,0.81,0.27,1.09,2022
15,Morato,br BRA,DF,21,7,483.0,1.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,2022
16,Julian Draxler,de GER,MF,29,13,439.0,1.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,2022
17,Diogo Gonçalves,pt POR,FWMF,26,14,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
18,Gonçalo Guedes,pt POR,FW,26,7,340.0,1.0,1.0,0.0,1.0,0.0,0.26,0.26,0.53,2022
19,Mihailo Ristić,rs SRB,DFMF,27,6,112.0,1.0,1.0,0.0,0.0,0.0,0.8,0.8,1.61,2022
20,João Neves,pt POR,FW,18,12,80.0,0.0,1.0,0.0,0.0,0.0,0.0,1.13,1.13,2022
21,Henrique Araújo,pt POR,FW,21,6,80.0,1.0,0.0,0.0,0.0,0.0,1.13,0.0,1.13,2022
22,Rodrigo Pinho,br BRA,FW,31,4,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
23,Julian Weigl,de GER,MF,27,2,58.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022
24,Roman Yaremchuk,ua UKR,FW,27,2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
25,Lucas Veríssimo,br BRA,DF,27,4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
26,Casper Tengstedt,dk DEN,FW,22,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
27,John Brooks,us USA,DF,30,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
28,Jan Vertonghen,be BEL,DF,35,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
29,Andreas Schjelderup,no NOR,FW,18,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
30,Cher Ndour,it ITA,MF,18,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
